Respondents,Datetime,Shopping_Frequency,Monthly_Spending,Goal,Factors,Unplanned_Item_Intention,Willingness_Amazon,Lack_Amazon,Willingness_Prada,Lack_Prada,interactivity_importantance,screendesign_importantance,trust/like,necessaties,personalized_design_intention,reconmandended_purchasing_intention,personalized_loc,age,Gender
112,2022/12/26,Only at sales,0 - 30,4,Product presentation (mainly pictures and videos);Website Functionality Guidelines,5,5,I am fine with it,5,Lack of enough info,4,4,5,4,3,4,Product information page;Homepage;My account page,26 - 35,Female
113,2022/12/26,Only at sales,Above 300,3,Website page design;Prices and events,5,1,I am fine with it,5,Poor layout design;Lack of enough info,3,4,2,4,5,5,Your shopping basket;My account page;Homepage,26 - 35,Female
114,2022/12/26,Every Month,30 - 80,2,"Site search function;Logistics;Pre-sales service (contact the seller for product information, etc.)",3,1,No direct visual stimulation (e.g. images),4,Poor layout design,2,3,2,2,2,4,Under each category's main page;My account page,Under 18,Female
115,2022/12/26,Every Month,150 - 300,4,Product presentation (mainly pictures and videos);Prices and events;Logistics,2,4,No direct visual stimulation (e.g. images);Poor layout design,4,Poor layout design;Poor font design;Lack of enough info,3,5,4,5,4,5,"When you filter or search, it will be shown in the filter called ""Recommended for you"";My account page",19 - 25,Male
116,2022/12/26,Only at sales,30 - 80,3,"Website Functionality Guidelines;Pre-sales service (contact the seller for product information, etc.);Product presentation (text-based)",1,1,Poor layout design,2,Poor layout design;Lack of enough info,1,1,2,3,3,1,Under each category's main page;My account page;Your shopping basket,26 - 35,Female
117,2022/12/26,Every Month,150 - 300,2,"Pre-sales service (contact the seller for product information, etc.);Site search function;Website Functionality Guidelines",1,1,I am fine with it,1,I am fine with it,4,4,2,2,1,4,Under each category's main page;My account page,19 - 25,Male
118,2022/12/26,Every Month,30 - 80,4,"Site search function;After-sales service (return and exchange service, etc.);Product presentation (mainly pictures and videos)",2,1,I am fine with it,2,I am fine with it,1,2,2,2,3,1,Homepage;Under each category's main page;My account page,Under 18,Male
119,2022/12/26,Only at sales,80 - 150,4,Consumer reviews and scores;Variety of payment options,2,5,Don't want to read the text (too much info);No direct visual stimulation (e.g. images),1,Lack of enough info,5,5,5,4,4,5,Homepage;Your shopping basket;My account page,26 - 35,Male
120,2022/12/26,Every Week,30 - 80,4,"Prices and events;Product presentation (text-based);Pre-sales service (contact the seller for product information, etc.)",2,4,I am fine with it,1,Lack of enough info,2,2,2,4,1,2,At check out;Under each category's main page;Your shopping basket,19 - 25,Male
121,2022/12/26,Every Year,0 - 30,3,"After-sales service (return and exchange service, etc.);Product presentation (text-based);Consumer reviews and scores",3,4,I am fine with it,2,Poor layout design;Lack of enough info,2,4,4,5,4,5,Homepage;Your shopping basket;Your saved Items list,26 - 35,Female
122,2022/12/26,Only at sales,0 - 30,2,"Consumer reviews and scores;Pre-sales service (contact the seller for product information, etc.);Site search function",2,3,I am fine with it,4,I am fine with it,4,2,2,2,1,2,Homepage;Under each category's main page;My account page,36 - 45,Female
123,2022/12/26,Every Month,0 - 30,2,Variety of payment options;Prices and events,2,3,Don't want to read the text (too much info),4,Lack of enough info,4,4,2,2,4,2,Product information page;Your shopping basket,19 - 25,Male
124,2022/12/26,Every Month,30 - 80,2,Site search function;Variety of payment options;Website page design,1,1,Font design,1,I am fine with it,1,2,2,2,1,2,Homepage;My account page,19 - 25,Male
125,2022/12/26,Every Year,150 - 300,4,Site search function;Website Functionality Guidelines,3,5,Poor layout design;Font design;No direct visual stimulation (e.g. images),5,Lack of enough info,4,4,4,5,1,5,Homepage;Your shopping basket;My account page,26 - 35,Male
126,2022/12/26,Every Month,150 - 300,3,Site search function;Website Functionality Guidelines;Logistics,3,4,Poor layout design;Font design,5,Poor font design;Lack of enough info,5,4,4,1,4,4,Under each category's main page;Your shopping basket;My account page,26 - 35,Male
127,2022/12/26,Every Year,30 - 80,4,"Prices and events;After-sales service (return and exchange service, etc.)",5,5,I am fine with it,4,Lack of enough info,2,5,2,2,4,4,Under each category's main page;Product information page;Homepage,19 - 25,Male
128,2022/12/26,Every Month,30 - 80,3,"Logistics;Pre-sales service (contact the seller for product information, etc.)",3,4,No direct visual stimulation (e.g. images);Font design,1,Poor layout design;Lack of enough info,2,2,2,2,4,4,Your shopping basket;Under each category's main page;Homepage,Under 18,Male
129,2022/12/26,Every Year,0 - 30,3,"Pre-sales service (contact the seller for product information, etc.);Prices and events;Site search function",1,4,No direct visual stimulation (e.g. images);Font design,5,Poor layout design;Lack of enough info,4,5,2,5,3,5,Product information page;Under each category's main page,19 - 25,Male
130,2022/12/26,Only at sales,150 - 300,4,"Website Functionality Guidelines;Pre-sales service (contact the seller for product information, etc.)",5,3,Font design;No direct visual stimulation (e.g. images),4,Lack of enough info,2,4,5,4,3,5,Under each category's main page;My account page,19 - 25,Male
131,2022/12/26,Every Month,30 - 80,2,Logistics;Consumer reviews and scores,2,2,No direct visual stimulation (e.g. images);Font design,1,Lack of enough info,4,2,2,2,1,1,Product information page;Homepage,19 - 25,Male
132,2022/12/26,Every Year,30 - 80,2,Site search function;Product presentation (mainly pictures and videos);Variety of payment options,3,4,Font design,5,Lack of enough info,1,5,2,4,4,5,Under each category's main page;Product information page;Your shopping basket,19 - 25,Male
133,2022/12/26,Every Month,0 - 30,4,"Pre-sales service (contact the seller for product information, etc.);Consumer reviews and scores",3,2,No direct visual stimulation (e.g. images),4,Lack of enough info,4,2,2,2,1,2,Your shopping basket;At check out;Product information page,26 - 35,Female
134,2022/12/26,Only at sales,150 - 300,2,Product presentation (text-based);Site search function,2,5,I am fine with it,5,Lack of enough info,3,5,3,5,3,5,Homepage;My account page;Under each category's main page,Above 46,Male
135,2022/12/26,Only at sales,30 - 80,5,Logistics;Prices and events;Consumer reviews and scores,5,4,I am fine with it,5,I am fine with it,5,5,2,4,3,5,Under each category's main page;Your shopping basket;Product information page,Under 18,Male
136,2022/12/26,Only at sales,150 - 300,4,"Pre-sales service (contact the seller for product information, etc.);Site search function",2,4,I am fine with it,2,Lack of enough info;Poor font design,4,4,2,4,3,5,Homepage;Under each category's main page,26 - 35,Female
137,2022/12/26,Only at sales,150 - 300,4,Prices and events;Product presentation (mainly pictures and videos),2,4,Poor layout design,4,Lack of enough info,4,4,3,3,5,5,Under each category's main page;Your shopping basket;Product information page,Above 46,Female
138,2022/12/26,Every Year,Above 300,4,Prices and events;Website Functionality Guidelines,3,3,I am fine with it,4,I am fine with it,4,5,4,4,3,5,Product information page;Homepage;Your shopping basket,36 - 45,Male
139,2022/12/26,Only at sales,30 - 80,5,"Pre-sales service (contact the seller for product information, etc.);Product presentation (mainly pictures and videos)",5,5,I am fine with it,2,Poor font design;Lack of enough info,5,5,4,5,3,2,Your shopping basket;My account page,26 - 35,Male
140,2022/12/26,Every Month,30 - 80,4,Prices and events;Consumer reviews and scores;Variety of payment options,2,5,No direct visual stimulation (e.g. images),5,Lack of enough info;Poor font design,4,5,5,5,3,4,Product information page;My account page;Homepage,19 - 25,Female
141,2022/12/26,Only at sales,80 - 150,3,Product presentation (text-based);Consumer reviews and scores,1,1,Don't want to read the text (too much info),1,Poor layout design;Poor font design,2,1,2,2,1,1,At check out;Under each category's main page,36 - 45,Female
142,2022/12/26,Every Week,0 - 30,4,"Pre-sales service (contact the seller for product information, etc.);Product presentation (mainly pictures and videos);Logistics",1,1,I am fine with it,2,Poor layout design;Lack of enough info,1,1,3,2,3,1,Your shopping basket;Product information page,Above 46,Male
143,2022/12/26,Every Year,150 - 300,4,Product presentation (mainly pictures and videos);Website Functionality Guidelines;Logistics,2,4,Poor layout design,5,Poor layout design;Lack of enough info,4,5,3,5,3,4,Your shopping basket;Under each category's main page,26 - 35,Female
144,2022/12/26,Every Month,150 - 300,4,Site search function;Website Functionality Guidelines,3,4,Poor layout design;Don't want to read the text (too much info),5,Poor layout design;Lack of enough info,4,5,4,4,2,5,My account page;Homepage;Your saved Items list,26 - 35,Female
145,2022/12/26,Only at sales,150 - 300,4,Website page design;Site search function;Prices and events,2,5,Font design,5,I am fine with it,5,2,5,4,3,2,Under each category's main page;My account page,19 - 25,Male
146,2022/12/26,Every Year,80 - 150,3,"After-sales service (return and exchange service, etc.);Website Functionality Guidelines;Prices and events",5,4,I am fine with it,2,Poor font design;Poor layout design;Lack of enough info,4,5,2,4,4,4,Under each category's main page;Your shopping basket;My account page,19 - 25,Female
147,2022/12/26,Every Month,150 - 300,4,Product presentation (text-based);Product presentation (mainly pictures and videos),2,3,No direct visual stimulation (e.g. images);Font design,1,I am fine with it,2,4,3,2,1,2,Your shopping basket;Your saved Items list,Under 18,Female
148,2022/12/26,Only at sales,30 - 80,4,Site search function;Website Functionality Guidelines,5,3,I am fine with it,5,I am fine with it,4,5,2,2,5,2,Your shopping basket;Product information page;Under each category's main page,36 - 45,Female
149,2022/12/26,Only at sales,80 - 150,4,Prices and events;Website Functionality Guidelines,2,4,I am fine with it,2,Poor layout design;Lack of enough info,4,4,4,2,5,5,Homepage;My account page,26 - 35,Female
150,2022/12/26,Every Year,30 - 80,2,Logistics;Website page design,5,4,I am fine with it,3,Poor layout design;Lack of enough info,4,4,5,4,2,2,Homepage;Product information page;Your shopping basket,26 - 35,Male
151,2022/12/26,Every Year,30 - 80,3,"Prices and events;After-sales service (return and exchange service, etc.)",3,4,I am fine with it,4,I am fine with it,4,5,2,2,5,4,Your shopping basket;Under each category's main page,19 - 25,Male
152,2022/12/26,Every Week,30 - 80,3,Site search function;Logistics,2,1,No direct visual stimulation (e.g. images),1,I am fine with it,1,1,2,2,3,3,Under each category's main page;My account page;Your shopping basket,19 - 25,Male
153,2022/12/26,Every Year,80 - 150,5,Product presentation (mainly pictures and videos);Product presentation (text-based),3,4,No direct visual stimulation (e.g. images);Font design,5,Lack of enough info,4,4,2,5,3,5,Your shopping basket;Under each category's main page;Product information page,26 - 35,Female
154,2022/12/26,Only at sales,30 - 80,5,Website page design;Variety of payment options,1,4,Poor layout design;No direct visual stimulation (e.g. images),5,I am fine with it,4,5,4,2,5,2,Your shopping basket;Under each category's main page;My account page,36 - 45,Female
155,2022/12/26,Every Week,30 - 80,2,"Site search function;Pre-sales service (contact the seller for product information, etc.);Logistics",2,1,I am fine with it,4,Lack of enough info,1,4,2,2,3,4,My account page;Your shopping basket;Under each category's main page,36 - 45,Male
156,2022/12/26,Only at sales,0 - 30,2,Prices and events;Website Functionality Guidelines;Logistics,2,1,I am fine with it,2,Poor font design;Lack of enough info,4,2,2,2,3,2,Under each category's main page;Homepage,19 - 25,Male
157,2022/12/26,Every Year,80 - 150,4,Product presentation (mainly pictures and videos);Logistics,1,4,No direct visual stimulation (e.g. images);Poor layout design,5,I am fine with it,3,4,3,5,4,1,Homepage;Under each category's main page,Under 18,Female
158,2022/12/26,Every Week,30 - 80,5,Website Functionality Guidelines;Logistics,3,3,No direct visual stimulation (e.g. images);Poor layout design,5,Lack of enough info;Poor layout design,4,4,2,4,4,5,Your shopping basket;Your saved Items list;Under each category's main page,19 - 25,Female
159,2022/12/26,Only at sales,80 - 150,3,"Pre-sales service (contact the seller for product information, etc.);Product presentation (text-based);Logistics",1,2,I am fine with it,1,Lack of enough info,2,1,2,2,1,4,Your shopping basket;Product information page,26 - 35,Female
160,2022/12/26,Every Month,80 - 150,3,Logistics;Consumer reviews and scores,5,5,I am fine with it,5,I am fine with it,4,5,5,5,4,4,Homepage;Product information page;Your shopping basket,19 - 25,Female
161,2022/12/26,Only at sales,30 - 80,2,Variety of payment options;Consumer reviews and scores;Website Functionality Guidelines,5,4,Poor layout design;No direct visual stimulation (e.g. images),4,Lack of enough info;Poor font design,4,4,5,2,3,4,Your shopping basket;Homepage;My account page,36 - 45,Female
162,2022/12/26,Every Month,30 - 80,4,Product presentation (text-based);Website page design;Consumer reviews and scores,5,5,Poor layout design;No direct visual stimulation (e.g. images),5,I am fine with it,2,5,5,2,4,4,My account page;Your shopping basket,36 - 45,Female
163,2022/12/26,Only at sales,150 - 300,2,Product presentation (mainly pictures and videos);Website page design;Product presentation (text-based),3,3,I am fine with it,4,I am fine with it,1,2,2,2,1,2,My account page;Homepage;Under each category's main page,36 - 45,Male
164,2022/12/26,Every Week,30 - 80,2,Site search function;Variety of payment options,2,2,I am fine with it,2,Poor layout design;Poor font design;Lack of enough info,1,2,2,1,1,1,Under each category's main page;Product information page;At check out,36 - 45,Female
165,2022/12/27,Only at sales,80 - 150,5,Prices and events;Product presentation (text-based),3,5,No direct visual stimulation (e.g. images),4,Lack of enough info,4,5,5,5,5,5,Your shopping basket;Homepage,19 - 25,Female
166,2022/12/27,Only at sales,150 - 300,5,"After-sales service (return and exchange service, etc.);Website page design",3,3,I am fine with it,1,I am fine with it,4,5,2,2,5,5,Under each category's main page;Your shopping basket;Product information page,36 - 45,Male
167,2022/12/27,Every Month,150 - 300,2,"Site search function;Website page design;Pre-sales service (contact the seller for product information, etc.)",3,1,Font design;No direct visual stimulation (e.g. images),1,Poor layout design;Lack of enough info,2,4,2,2,3,1,Your shopping basket;Under each category's main page;Product information page,Under 18,Female
168,2022/12/27,Only at sales,80 - 150,5,Consumer reviews and scores;Site search function;Product presentation (text-based),5,1,No direct visual stimulation (e.g. images);Poor layout design,4,I am fine with it,5,5,2,1,3,5,Your shopping basket;My account page;Homepage,Under 18,Male
169,2022/12/27,Every Week,0 - 30,3,"After-sales service (return and exchange service, etc.);Product presentation (mainly pictures and videos)",1,4,No direct visual stimulation (e.g. images);Font design,2,Poor font design;Lack of enough info,4,1,2,3,1,1,Product information page;Homepage;My account page,19 - 25,Female
170,2022/12/27,Only at sales,30 - 80,4,"Variety of payment options;Pre-sales service (contact the seller for product information, etc.);Product presentation (mainly pictures and videos)",3,5,I am fine with it,2,I am fine with it,4,2,5,5,2,5,Product information page;My account page;Under each category's main page,19 - 25,Male
171,2022/12/27,Only at sales,150 - 300,5,Product presentation (text-based);Product presentation (mainly pictures and videos);Website page design,5,4,I am fine with it,2,Lack of enough info;Poor font design,5,5,2,2,2,4,Your shopping basket;Your saved Items list;My account page,36 - 45,Male
172,2022/12/27,Only at sales,150 - 300,3,Product presentation (mainly pictures and videos);Logistics,3,5,I am fine with it,1,Lack of enough info,5,2,4,2,5,4,"When you filter or search, it will be shown in the filter called ""Recommended for you"";Homepage",19 - 25,Male
173,2022/12/27,Every Year,0 - 30,1,Prices and events,1,2,Don't want to read the text (too much info),3,Poor font design,4,3,1,4,2,3,My account page;Your shopping basket,26 - 35,Male
174,2022/12/27,Every Season,0 - 30,5,Prices and events;Product presentation (mainly pictures and videos);Site search function;Consumer reviews and scores,2,4,I am fine with it,3,Lack of enough info,4,4,3,4,3,4,Homepage;My account page,19 - 25,Female
175,2022/12/28,Every Month,30 - 80,3,"Prices and events;Product presentation (mainly pictures and videos);Product presentation (text-based);After-sales service (return and exchange service, etc.);Consumer reviews and scores;Logistics",2,3,Poor layout design,3,Lack of enough info,4,4,5,5,2,3,"Product information page;When you filter or search, it will be shown in the filter called ""Recommended for you"";Your shopping basket",19 - 25,Female
176,2022/12/29,Every Year,80 - 150,4,Prices and events;Consumer reviews and scores,3,3,I am fine with it,4,I am fine with it,4,3,4,4,3,3,"Homepage;Under each category's main page;When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Male
177,2023/1/2,Every Month,Above 300,4,"Prices and events;Pre-sales service (contact the seller for product information, etc.);Website page design;Consumer reviews and scores",4,3,Don't want to read the text (too much info);Poor layout design,5,Lack of enough info,4,4,4,2,2,3,"Homepage;My account page;When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
178,2023/1/2,Only at sales,80 - 150,4,"Prices and events;Product presentation (mainly pictures and videos);Product presentation (text-based);Variety of payment options;Site search function;Pre-sales service (contact the seller for product information, etc.);After-sales service (return and exchange service, etc.);Website page design;Consumer reviews and scores;Logistics",3,4,,2,Lack of enough info,5,5,4,4,4,4,"Homepage;Product information page;When you filter or search, it will be shown in the filter called ""Recommended for you"";Your shopping basket;Your saved Items list",19 - 25,Female
179,2023/1/2,Every Week,30 - 80,4,"Pre-sales service (contact the seller for product information, etc.)",3,4,I am fine with it,2,Poor font design;Poor layout design,3,4,3,2,4,4,My account page,19 - 25,Female
180,2023/1/4,Every Month,0 - 30,4,"Prices and events;Product presentation (mainly pictures and videos);Product presentation (text-based);After-sales service (return and exchange service, etc.);Website page design;Consumer reviews and scores",3,3,No direct visual stimulation (e.g. images);Font design;Poor layout design,4,I am fine with it,4,4,4,4,3,2,"Product information page;Under each category's main page;When you filter or search, it will be shown in the filter called ""Recommended for you""",19 - 25,Female
